"Carimbo de data/hora","Li o Termo de Consentimento Livre Esclarecido e concordo:","Você reside em qual munícipio?","Em que faixa de idade você se encontra?","Qual seu gênero?","Qual sua escolaridade?","Você segue alguma religião?","Por onde se informa mais? ","Tem interesse em política?","Se considera mais de:","Quando falamos em Esquerda, qual dessas afirmações faz mais sentido para você?","Quando falamos em Direita, qual dessas afirmações faz mais sentido para você?","Você apoia a existência de sindicatos?","Você apoia o direito de greve trabalhista?","O governo deve usar agentes da lei para acabar com manifestações?","O regime militar deveria voltar?","Leis devem ser sempre obedecidas (sendo elas justas ou não)?","O governo deve poder proibir a existência de algum partido político?","No capitalismo, quem se esforça sempre é recompensado?","No socialismo, todos os problemas sociais são sanados?","Você é contra o aborto, sendo a situação prevista ou não em lei?","É a favor do desarmamento civil, especialmente em centros urbanos?","As grandes fortunas (investimentos e bens acima de 20 milhões de reais) devem ser taxadas e, com essa arrecadação, investir em melhorias para a população?","Toda pessoa deveria ter direito à saúde de graça e com qualidade, oferecida pelo governo?","Você considera a família como união de duas ou mais pessoas, independentemente do gênero destas?"
"2023/01/21 11:50:01 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí- SP","25-35","Feminino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 11:50:14 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","43-50","Feminino","Pós-graduação completa","Sim e sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo plenamente","Discordo plenamente","Sim","Sim","Sim","Sim","Não"
"2023/01/21 11:50:18 AM GMT-3","SIM, aceito participar da pesquisa.","São Paulo ","51-65","Masculino","Graduação completa","Sim e sou praticante","Jornal e/ou revista físicas","Sim, me interesso por política","Centro-Direita","Ser oposição ao governo","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Concordo plenamente","Discordo parcialmente","Sim","Não","Não","Sim","Sim"
"2023/01/21 11:51:20 AM GMT-3","SIM, aceito participar da pesquisa.","SP ","36-42","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo parcialmente","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 11:54:51 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiai","36-42","Feminino","Graduação completa","Sim e sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Não sei me definir","Ser minoria","É apoiar o governo","Sim.","Sim","Não, qualquer manifestação do povo é válida e não deve ser interrompida pelo governo","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo plenamente","Não","Não","Sim","Sim","Sim"
"2023/01/21 11:59:25 AM GMT-3","SIM, aceito participar da pesquisa.","Osasco ","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:00:41 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","51-65","Masculino","Pós-graduação completa","Sim e sou praticante","Televisão","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Não","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Concordo parcialmente","Não concordo nem discoro","Sim","Sim","Sim","Sim","Não"
"2023/01/21 12:01:44 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo ","36-42","Feminino","Pós-graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Não me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Não concordo nem discordo","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:05:09 PM GMT-3","SIM, aceito participar da pesquisa.","Belo Horizonte ","25-35","Feminino","Pós-graduação completa","Sim e sou praticante","Jornal e/ou revista digitais","É indiferente para mim","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Não concordo nem discordo","Não concordo nem discoro","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:05:12 PM GMT-3","SIM, aceito participar da pesquisa.","Santo André ","43-50","Masculino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Concordo parcialmente","Concordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:07:57 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","25-35","Feminino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:08:24 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí","25-35","Feminino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo plenamente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:08:58 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí","36-42","Masculino","Pós-graduação completa","Sim e sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Direita","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo parcialmente","Discordo parcialmente","Não","Sim","Não","Sim","Sim"
"2023/01/21 12:09:21 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo ","mais de 65","Feminino","Pós-graduação completa","Sim e sou praticante","Jornal e/ou revista físicas","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Não sempre, pois acho que tenho o direito de não cumprir caso não concorde","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Concordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:11:11 PM GMT-3","SIM, aceito participar da pesquisa.","São Joaquim da Barra","25-35","Masculino","Ensino médio completo","Sim e sou praticante","Televisão","É indiferente para mim","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Não sei responder","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Concordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:11:28 PM GMT-3","SIM, aceito participar da pesquisa.","Eindhoven, Brabante do Norte, Países Baixos","36-42","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Não sei me definir","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Não concordo nem discordo","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:12:04 PM GMT-3","SIM, aceito participar da pesquisa.","Anápolis ","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:16:42 PM GMT-3","SIM, aceito participar da pesquisa.","Sorocaba","43-50","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo plenamente","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 12:20:56 PM GMT-3","SIM, aceito participar da pesquisa.","Guarulhos SP ","51-65","Feminino","Pós-graduação completa","Sim e sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, sempre que julgar necessário","Concordo parcialmente","Concordo parcialmente","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 12:21:22 PM GMT-3","SIM, aceito participar da pesquisa.","São Bernardo do Campo ","51-65","Feminino","Pós-graduação completa","Sim e não sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo plenamente","Sim","Não","Sim","Sim","Sim"
"2023/01/21 12:23:54 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","43-50","Feminino","Ensino médio completo","Sim e não sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","É indiferente para mim","Direita","Ser oposição ao governo","É o certo de acordo com minha noção de ética","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Sim","Não sempre, pois acho que tenho o direito de não cumprir caso não concorde","Sim, se a ideologia desse partido ferir direitos humanos","Concordo parcialmente","Discordo parcialmente","Não","Não","Sim","Sim","Sim"
"2023/01/21 12:26:19 PM GMT-3","SIM, aceito participar da pesquisa.","Campo Limpo Paulista ","36-42","Masculino","Pós-graduação completa","Sim e não sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 12:26:38 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo","25-35","Não existe outro","Pós-graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Direita","Socialismo / Comunismo","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Sim","Não sempre, pois acho que tenho o direito de não cumprir caso não concorde","Não. O Estado não deveria interferir nisso","Concordo plenamente","Discordo plenamente","Não","Não","Não","Não","Não"
"2023/01/21 12:31:09 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:35:53 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","51-65","Feminino","Pós-graduação completa","Sim e não sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Centro-Direita","Ser oposição ao governo","É o certo de acordo com minha noção de ética","Sim.","Não","Não, há manifestações pacíficas que devem ser respeitadas","Sim","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo parcialmente","Discordo plenamente","Sim","Não","Não","Sim","Não"
"2023/01/21 12:36:43 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo","25-35","Masculino","Pós-graduação completa","Sim e não sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo parcialmente","Não","Não","Sim","Sim","Sim"
"2023/01/21 12:38:01 PM GMT-3","SIM, aceito participar da pesquisa.","Campinas, SP","51-65","Feminino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:38:36 PM GMT-3","SIM, aceito participar da pesquisa.","Itupeva","36-42","Feminino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Não","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:38:42 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","É indiferente para mim","Não sei me definir","Ser oposição ao governo","É apoiar o governo","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Não sempre, pois acho que tenho o direito de não cumprir caso não concorde","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:44:41 PM GMT-3","SIM, aceito participar da pesquisa.","Itupeva -SP","36-42","Feminino","Graduação completa","Sim e não sou praticante","Televisão","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:45:09 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo ","51-65","Feminino","Graduação completa","Sim e não sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 12:47:44 PM GMT-3","SIM, aceito participar da pesquisa.","Campinas ","51-65","Feminino","Pós-graduação completa","Sim e não sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo plenamente","Concordo parcialmente","Não","Sim","Sim","Sim","Não"
"2023/01/21 12:48:28 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","51-65","Feminino","Ensino médio completo","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","É indiferente para mim","Não sei me definir","Não sei responder","Não sei responder","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Não concordo nem discordo","Não concordo nem discoro","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 12:58:16 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiai ","mais de 65","Feminino","Graduação completa","Sim e não sou praticante","Televisão","Não me interesso por política","Não sei me definir","É ser errado de acordo com minha noção de ética","É o certo de acordo com minha noção de ética","Não","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 12:59:49 PM GMT-3","SIM, aceito participar da pesquisa.","Pindamonhangaba ","25-35","Masculino","Pós-graduação completa","Sim e sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 1:00:26 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Não sempre, pois acho que tenho o direito de não cumprir caso não concorde","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Concordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 1:00:57 PM GMT-3","SIM, aceito participar da pesquisa.","Ribeirão Preto","25-35","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Direita","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 1:01:20 PM GMT-3","SIM, aceito participar da pesquisa.","Sao Carlos ","36-42","Masculino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo plenamente","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 1:01:24 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo","25-35","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Concordo parcialmente","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 1:02:45 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí SP","51-65","Feminino","Ensino médio completo","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Direita","Socialismo / Comunismo","Liberalismo econômico e político","Não","Não","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo plenamente","Não","Não","Não","Sim","Sim"
"2023/01/21 1:03:39 PM GMT-3","SIM, aceito participar da pesquisa.","Limeira ","36-42","Feminino","Pós-graduação completa","Sim e sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Não","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo parcialmente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 1:04:16 PM GMT-3","SIM, aceito participar da pesquisa.","Campinas","36-42","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Rádio","Sim, me interesso por política","Centro-Direita","Socialismo / Comunismo","Liberalismo econômico e político","Não","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo plenamente","Não","Não","Não","Sim","Sim"
"2023/01/21 1:09:05 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo Capital","25-35","Feminino","Pós-graduação completa","Sim e sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Não sei me definir","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Não","Não","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo parcialmente","Discordo parcialmente","Não","Sim","Não","Sim","Sim"
"2023/01/21 1:10:59 PM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","18-24","Masculino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Não me interesso por política","Não sei me definir","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Não","Não","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 1:12:13 PM GMT-3","SIM, aceito participar da pesquisa.","São Paulo ","43-50","Feminino","Pós-graduação completa","Sim e sou praticante","Televisão","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo plenamente","Não concordo nem discoro","Não","Sim","Sim","Sim","Sim"
"2023/01/21 1:14:09 PM GMT-3","SIM, aceito participar da pesquisa.","Vancouver, Canada","36-42","Feminino","Pós-graduação completa","Não sigo nenhuma em específico","Rádio","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, qualquer manifestação do povo é válida e não deve ser interrompida pelo governo","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 1:14:52 PM GMT-3","SIM, aceito participar da pesquisa.","Campinas","43-50","Feminino","Pós-graduação completa","Sim e sou praticante","Jornal e/ou revista digitais","É indiferente para mim","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Sim","Sim","Não","Sim","Sim"
